u swi hlayisa	and store it up
swi ta dyiwa hi wena ni swivumbiwa leswin'wana	It shall serve as food for you and for them
Hiloko Nowa a endla swilo leswi hinkwaswo	Noah did this
hilaha Xikwembu xi n'wi leriseke hakona	he did all that God commanded him
Eka tinyanyana	and seven pairs of the birds of the heavens also
u ta pambula ta 14 exikarhi ka rixaka rin'wana na rin'wana	male and female
ta xinuna ta 7 ni ta xisati ta 7	to keep their offspring alive on the face of all the earth
Kutani Nowa a endla hinkwaswo leswi HOSI Xikwembu xi n'wi leriseke swona	And Noah did all that the LORD had commanded him
Exikarhi ka swiharhi leswi tengeke	Of clean animals
ni ka leswi nga tengangiki	and of animals that are not clean
ni ka tinyanyana	and of birds
ni ka swikokovi hinkwaswo	and of everything that creeps on the ground
Kutani ku na mpfula emisaveni ku ringana masiku ya 40 ni vusiku bya kona	And rain fell upon the earth forty days and forty nights
Nowa ú nghenile engalaveni a ri ni swivumbiwa swimbirhi-mbirhi	They went into the ark with Noah
exikarhi ka swivumbiwa hinkwaswo leswi hanyaka	two and two of all flesh in which there was the breath of life
Ndhambi ya mati yi va kona emisaveni ku ringana masiku ya 40	The flood continued forty days on the earth
mati ma ri karhi ma ndlandlamuka	The waters increased and bore up the ark
ma tlakula ngalava yi suka ehansi	and it rose high above the earth
Kutani mati ma ya ma ndlandlamuka swinene	The waters prevailed and increased greatly on the earth
ngalava yi kondza yi papama ehenhla ka wona	and the ark floated on the face of the waters
Loko mati ma ndlandlamukile hi matimba swinene	And the waters prevailed so mightily on the earth that all the high mountains under the whole heaven were covered
ma tlhela ma ti hundza hi 7	The waters prevailed above the mountains
5 m	covering them fifteen cubits deep
Kutani swivumbiwa hinkwaswo leswi hanyaka emisaveni swi fetetela	And all flesh died that moved on the earth
Ku file tinyanyana	birds
ni swifuwo	livestock
ni swiharhi	beasts
ni swihadyana hinkwaswo leswi tateke misava	all swarming creatures that swarm on the earth
ni vanhu hinkwavo	and all mankind
Mati ma ndlandlamukile ma ya ehenhla ku ringana masiku ya 150	And the waters prevailed on the earth 150 days
Kutani Xikwembu xi tsundzuka Nowa ni swiharhi hinkwaswo ni swifuwo hinkwaswo leswi a a ri na swona engalaveni	But God remembered Noah and all the beasts and all the livestock that were with him in the ark
hiloko xi hungisa moya emisaveni	And God made a wind blow over the earth
kutani mati ma sungula ku hunguteka	and the waters subsided
Mati ma ya emahlweni ma hunguteka	And the waters continued to abate until the tenth month
ku kondza ku fika n'hweti ya vukhume	in the tenth month
kutani hi siku ro sungula ra n'hweti ya vukhume	on the first day of the month
tinhlohlorhi ta tintshava ti sungula ku vonaka	the tops of the mountains were seen
a humesa wukuwuku	and sent forth a raven
kutani rona ri ya haha-haha ehandle mati ma kondza ma phya	It went to and fro until the waters were dried up from the earth
Hiloko a humesa tuva	Then he sent forth a dove from him
leswaku ri ya kamba loko mati ma phyile emisaveni	to see if the waters had subsided from the face of the ground
Nowa a tshama masiku ya 7	He waited another seven days
kutani a tlhela a humesa tuva engalaveni	and again he sent forth the dove out of the ark
Kutani Xikwembu xi ku ka Nowa	Then God said to Noah
Swiharhi hinkwaswo	Every beast
ni swikokovi hinkwaswo	every creeping thing
ni tinyanyana hinkwato	and every bird
ni swilo hinkwaswo leswi hanyaka emisaveni	everything that moves on the earth
swi huma engalaveni hi tinxaka ta swona	went out by families from the ark
Swilo hinkwaswo leswi hanyaka swi ta va swakudya swa n'wina	Every moving thing that lives shall be food for you
ndzi mi nyika swona hinkwaswo	And as I gave you the green plants
ku fana ni leswi ndzi mi nyikeke swimila swa rihlaza	I give you everything
Sweswi ndzi endla ntwanano na n'wina	Behold
ni vana va n'wina lava nga ta velekiwa	I establish my covenant with you and your offspring after you
ndzi ta tsundzuka ntwanano lowu nga kona exikarhi ka mina na n'wina ni swivumbiwa hinkwaswo swa tinxaka-xaka leswi hanyaka	I will remember my covenant that is between me and you and every living creature of all flesh
Ku nga ka ku nga ha vi na mati ya ndhambi lama nga ta herisa swivumbiwa hinkwaswo	And the waters shall never again become a flood to destroy all flesh
Kutani Xikwembu xi ku ka Nowa	God said to Noah
Lexi hi xona xitsundzuxo xa ntwanano lowu ndzi wu endleke exikarhi ka mina ni swivumbiwa hinkwaswo leswi nga kona emisaveni	This is the sign of the covenant that I have established between me and all flesh that is on the earth
Vana va Nowa lava nga huma engalaveni i Xeme	The sons of Noah who went forth from the ark were Shem
na Hamu	Ham
na Yafeta	and Japheth
Hamu a a ri tata wa Kanana	(Ham was the father of Canaan
Lava hi vona vana vanharhu va Nowa	These three were the sons of Noah
eka vona ku humile vanhu hinkwavo lava tateke misava	and from these the people of the whole earth were dispersed
Nowa a a ri murimi	Noah began to be a man of the soil
hi yena munhu wo sungula ku rima nsimu a byala vhinya	and he planted a vineyard
Kutani Xeme na Yafeta va teka nkumba va wu kapeka emakatleni ya vona havambirhi	Then Shem and Japheth took a garment
va tlhentlha hi xindzhakwa-ndzhakwani	laid it on both their shoulders
va ya funengeta tata wa vona	and walked backward and covered the nakedness of their father
a va langutile etlhelo	Their faces were turned backward
hikokwalaho a va n'wi vonelanga	and they did not see their father's nakedness
Endzhaku ka ndhambi ya mati	After the flood Noah lived 350 years
Vana va Yafeta hi lava	The sons of Japheth
Gomere	Gomer
na Magogo	Magog
na Madayi	Madai
na Yavhani	Javan
na Tubala	Tubal
na Mexeke	Meshech
na Tirasi	and Tiras
Vana va Gomere hi lava	The sons of Gomer
Axikenazi	Ashkenaz
na Rifata	Riphath
na Togarima	and Togarmah
Vana va Yavhani hi lava	The sons of Javan
Elixa	Elishah
na Tarxixi	Tarshish
na Kipra	Kittim
na Rhoda	and Dodanim
Vana va Hamu hi lava	The sons of Ham
Kuxi	Cush
na Egipta	Egypt
na Putu	Put
na Kanana	and Canaan
Vana va Kuxi hi lava	The sons of Cush
Seba	Seba
na Havhila	Havilah
na Sabita	Sabtah
na Rhama	Raamah
na Sabiteka	and Sabteca
Vana va Rhama hi lava	The sons of Raamah
Xeba na Dedani	Sheba and Dedan
Kuxi ú velekile Nimrodo	Cush fathered Nimrod
yena loyi a nga va nhenha yo sungula laha misaveni	he was the first on earth to be a mighty man
Kanana hi yena tata wa Vayebusi	and the Jebusites
ni Vaamori	the Amorites
ni Vagirigaxi	the Girgashites
ni Vahivhi	the Hivites
ni Vaariki	the Arkites
ni Vasini	the Sinites
ndzilekana wa tiko ra vona wu sungula eSidoni wu kongoma eGerara	And the territory of the Canaanites extended from Sidon in the direction of Gerar as far as Gaza
wu ya fika eGaza	and in the direction of Sodom
kutani wu jika wu kongoma etlhelo ra Sodoma na Gomora	Gomorrah
na Adama	Admah
na Seboyimi	and Zeboiim
wu ya helela eLaxa	as far as Lasha
Vana va Aramu hi lava	The sons of Aram
Usi	Uz
na Hulu	Hul
na Getere	Gether
na Maxa	and Mash
Ebere a veleka vana vambirhi	To Eber were born two sons
Un'wana vito ra yena a a ri Pelege (hileswaku ku avana	the name of the one was Peleg
hikuva enkarhini wa yena matiko ma avene)	for in his days the earth was divided
Makwavo wa yena a a ri Yokotani	and his brother's name was Joktan
Yokotani ú velekile Alimodada	Joktan fathered Almodad
na Xelefi	Sheleph
na Hasari-Mavheti	Hazarmaveth
na Yera	Jerah
na Hadorama	Hadoram
na Uzala	Uzal
na Dikila	Diklah
na Obala	Obal
na Abimaele	Abimael
na Xeba	Sheba
na Ufira	Ophir
na Havhila	Havilah
na Yobabu	and Jobab
Lava hinkwavo hi vona vana va Yokotani	all these were the sons of Joktan
Lava hi vona vatukulu va Nowa hi ku ya hi mindyangu ya vona ni matiko ya vona	These are the clans of the sons of Noah
Ematikweni lawa	according to their genealogies
ku humile vanhu lava hangalakeke emisaveni	in their nations
endzhaku ka ndhambi ya mati	and from these the nations spread abroad on the earth after the flood
Kutani va byelana va ku	And they said to one another
Tanani	Come
a hi endleni switina	let us make bricks
hi tlhela hi swi hisa swinene	and burn them thoroughly
Kutani ematshan'weni ya maribye va tirhisa switina	And they had brick for stone
va swi khomanisa hi ntita	and bitumen for mortar
Kutani va ku	Then they said
A hi tiakeleni muti	Come
hi aka ni xihondzo lexi nga ta dliva tilo	let us build ourselves a city and a tower with its top in the heavens
leswaku hi ta tiveka	and let us make a name for ourselves
hi ta ka hi nga hangalasiwi emisaveni	lest we be dispersed over the face of the whole earth
kutani HOSI Xikwembu xi ku	And the LORD said
Vanhu lava i van'we	Behold
naswona va vulavula ririmi rin'we	they are one people
kutani lawa mo va masungulo ya leswi va nga ta swi endla	and they have all one language
Xin'wana ni xin'wana lexi va nga ta lava ku xi endla	and this is only the beginning of what they will do
xi nge va tsandzi	And nothing that they propose to do will now be impossible for them
A hi rheleleni	Come
hi ya pfilunganyisa ririmi ra vona	let us go down and there confuse their language
leswaku va ta ka va nga ha twanani loko va vulavula	so that they may not understand one another's speech
Hiloko muti wa kona wu thyiwa vito ra Babele	Therefore its name was called Babel
hikuva HOSI Xikwembu xi pfilunganyisele kona ririmi ra vanhu va misava hinkwayo	because there the LORD confused the language of all the earth
xi va hangalasa va ya emisaveni hinkwayo	And from there the LORD dispersed them over the face of all the earth
Loko Aripakixada a ri ni malembe ya 35	When Arpachshad had lived 35 years
a veleka Xela	he fathered Shelah
Loko Xela a ri ni malembe ya 30	When Shelah had lived 30 years
a veleka Ebhere	he fathered Eber
Loko Ebere a ri ni malembe ya 34	When Eber had lived 34 years
a veleka Pelege	he fathered Peleg
Loko Pelege a ri ni malembe ya 30	When Peleg had lived 30 years
a veleka Rhewu	he fathered Reu
Loko Rhewu a ri ni malembe ya 32	When Reu had lived 32 years
a veleka Serugi	he fathered Serug
Loko Serugi a ri ni malembe ya 30	When Serug had lived 30 years
a veleka Nahoro	he fathered Nahor
Loko Nahoro a ri ni malembe ya 29	When Nahor had lived 29 years
a veleka Tera	he fathered Terah
Loko Tera a ri ni malembe ya 70	When Terah had lived 70 years
a veleka Abrama	he fathered Abram
na Nahoro	Nahor
na Harana	and Haran
Lava hi vona va ka Tera	Now these are the generations of Terah
Tera a a ri tata wa Abrama	Terah fathered Abram
na Nahoro	Nahor
na Harana	and Haran
kutani Harana a veleka Lota	and Haran fathered Lot
Abrama na Nahoro va teka vasati	And Abram and Nahor took wives
nsati wa Abrama a a ri Sarayi	The name of Abram's wife was Sarai
nsati wa Nahoro yena a a ri Milika	and the name of Nahor's wife
N'wa-Harana	Milcah
makwavo wa Milika N'wa-Harana a a ri Yisika	the daughter of Haran the father of Milcah and Iscah
Sarayi a a ri mhika	Now Sarai was barren
a nga kumi vana	she had no child
Kutani Tera a teka n'wana wa yena Abrama	Terah took Abram his son and Lot the son of Haran
ni ntukulu wa yena Lota n'wana Harana	his grandson
ni n'wingi wa yena Sarayi nkata Abrama	and Sarai his daughter-in-law
va rhurha emutini wa Uru etikweni ra Vakalediya	his son Abram's wife
va kongoma etikweni ra Kanana	and they went forth together from Ur of the Chaldeans to go into the land of Canaan
kambe loko va fika emutini wa Harana	but when they came to Haran
vo aka va tshama kona	they settled there
Tera ú hanyile malembe ya 205	The days of Terah were 205 years
kutani a lovela emutini wa Harana	and Terah died in Haran
Ndzi ta katekisa lava va ku katekisaka	I will bless those who bless you
kambe loyi a ku rhuketelaka ndzi ta n'wi rhuketela	and him who dishonors you I will curse
Kutani vanhu hinkwavo laha misaveni va ta katekisiwa hikwalaho ka wena	and in you all the families of the earth shall be blessed
Kutani Abrama a teka Sarayi nsati wa yena	And Abram took Sarai his wife
na Lota n'wana wa makwavo	and Lot his brother's son
ni swilo swa vona hinkwaswo	and all their possessions that they had gathered
a teka ni malandza lawa va ma kumeke eHarani	and the people that they had acquired in Haran
va khoma ndlela va kongoma etikweni ra Kanana	and they set out to go to the land of Canaan
Loko Abrama a lava ku nghena etikweni ra Egipta	When he was about to enter Egypt
a byela nsati wa yena Sarayi a ku	he said to Sarai his wife
Ndza swi tiva leswaku u mbhuri ya wansati	I know that you are a woman beautiful in appearance
Kunene loko Abrama a nghena etikweni	When Abram entered Egypt
Vaegipta va swi vonile leswaku Sarayi i mbhuri ya wansati	the Egyptians saw that the woman was very beautiful
Tindhuna tona ti lo na n'wi vona	And when the princes of Pharaoh saw her
to ya ti ya n'wi bumabumela eka Faro	they praised her to Pharaoh
kutani Sarayi a tekiwa a yisiwa endlwini ya Faro	And the woman was taken into Pharaoh's house
Kambe HOSI Xikwembu xi rhumela makhombo layo tala	But the LORD afflicted Pharaoh and his house with great plagues because of Sarai
xi ba Faro ni ndyangu wa yena hikwalaho ka Sarayi nkata Abrama	Abram's wife
Kutani Faro a vitana Abrama a ku ka yena	So Pharaoh called Abram and said
Xana i mhaka muni leyi u ndzi vangeleke yona xana	What is this you have done to me
Xana hikwalaho ka yini u nga ndzi byelanga leswaku munhu loyi i nsati wa wena xana	Why did you not tell me that she was your wife
U ndzi byerile leswaku i makwenu	Why did you say
kutani mina ndzi n'wi tekile ndzi n'wi endla nsati	'She is my sister
xana a wu ndzi xisele yini xana	' so that I took her for my wife
Kutani sweswi	Now then
nsati wa wena hi loyi	here is your wife
n'wi teke	take her
u huma laha tikweni u famba	and go
Hiloko Abrama a ku ka Lota	Then Abram said to Lot
Ku nga tshuki ku va ni ku holova exikarhi ka mina na wena	Let there be no strife between you and me
hambi ku ri exikarhi ka varisi va swifuwo swa mina ni varisi va swifuwo swa wena	and between your herdsmen and my herdsmen
hikuva hi vanhu van'we	for we are kinsmen
Abrama a tshama etikweni ra Kanana	Abram settled in the land of Canaan
kasi Lota yena a ya tshama emitini leyi nga nkoveni	while Lot settled among the cities of the valley and moved his tent as far as Sodom
wu nga muti wa vanhu vo homboloka	Now the men of Sodom were wicked
lava a va dyohela ngopfu HOSI Xikwembu	great sinners against the LORD
Ndzi ta endla leswaku vatukulu va wena va tala ku fana ni ntshuri wa misava	I will make your offspring as the dust of the earth
kutani a ku nga vi na munhu loyi a nga ta kota ku va hlaya	so that if one can count the dust of the earth
hikuva ntshuri wa misava a wu hlayeki	your offspring also can be counted
Suka u famba u rhendzeleka ni tiko leri hinkwaro	Arise
u kondza u ri hlanganisa	walk through the length and the breadth of the land
