Eku sunguleni, Xikwembu xi tumbuluxile tilo ni misava.	In the beginning, God created the heavens and the earth.
Loko HOSI Xikwembu xi vona leswaku ku dyoha ka munhu i kukulu laha misaveni, ni leswaku makungu hinkwawo ya mbilu ya yena ma bihile minkarhi hinkwayo	The LORD saw that the wickedness of man was great in the earth, and that every intention of the thoughts of his heart was only evil continually.
xi vaviseka embilwini, xi tilaya leswi xi endleke munhu emisaveni	And the LORD regretted that he had made man on the earth, and it grieved him to his heart.
kutani xi ku: Ndzi ta herisa vanhu lava ndzi va tumbuluxeke laha misaveni, ni swiharhi, ni swikokovi, ni tinyanyana. Ndza tilaya, leswi ndzi vumbeke swilo leswi.	So the LORD said, I will blot out man whom I have created from the face of the land, man and animals and creeping things and birds of the heavens, for I am sorry that I have made them.
Kambe Nowa yena a a tsakeriwa hi HOSI Xikwembu.	But Noah found favor in the eyes of the LORD.
Leti i timhaka ta va ka Nowa. Nowa a a ri munhu wo lulama, loyi a a tsakisa Xikwembu ku tlula vanhu hinkwavo lava a va ri kona emisaveni; naswona a a ri ni xinakulobye ni Xikwembu.	These are the generations of Noah. Noah was a righteous man, blameless in his generation. Noah walked with God.
Nowa a a ri ni vana vanharhu, Xeme na Hamu na Yafeta.	And Noah had three sons, Shem, Ham, and Japheth.
Enkarhini lowu, Xikwembu xi vona leswaku misava yi onhakile, yi tele hi vanhu va tihanyi.	Now the earth was corrupt in God's sight, and the earth was filled with violence.
Loko xi yi languta, xi vona leswaku yi onhakile, hikuva vanhu hinkwavo emisaveni a va endla leswo biha.	And God saw the earth, and behold, it was corrupt, for all flesh had corrupted their way on the earth.
Kutani Xikwembu xi ku ka Nowa: Ndzi ni makungu ya ku herisa vanhu hinkwavo, hikuva misava yi tele tihanyi hikwalaho ka vona. Kutani ndzi ta va herisa swin'we ni misava.	And God said to Noah, I have determined to make an end of all flesh, for the earth is filled with violence through them. Behold, I will destroy them with the earth.
Tiendlele ngalava hi timhandze ta murhi wa gofere. Endzeni ka ngalava ya kona, u endla makamari; u tota ni ntita endzeni ni le handle ka yona.	Make yourself an ark of gopher wood. Make rooms in the ark, and cover it inside and out with pitch.
Ngalava yi fanele ku va ni mimpimo leyi: 150 m ku leha, 25 m ku anama, ni 15 m ku ya ehenhla.	This is how you are to make it: the length of the ark 300 cubits, its breadth 50 cubits, and its height 30 cubits.
Endla lwangu ra yona, u siya 50 cm exikarhi ka lwangu na khumbi, u vekela ni rivanti hala tlhelo ka yona; ngalava ya kona u yi endla yi va ni tindlu ta le hansi, ni ta le xikarhi, ni ta le henhla.	Make a roof for the ark, and finish it to a cubit above, and set the door of the ark in its side. Make it with lower, second, and third decks.
Sweswi ndzi lava ku rhumela ndhambi ya mati, yi ta herisa swivumbiwa hinkwaswo leswi hanyaka emisaveni. Swilo hinkwaswo leswi nga laha misaveni swi ta fa.	For behold, I will bring a flood of waters upon the earth to destroy all flesh in which is the breath of life under heaven. Everything that is on the earth shall die.
Kambe ndzi ta endla ntwanano na wena; kutani u ta nghena engalaveni wena, ni nsati wa wena, ni vana va wena, ni vasati va vona.	But I will establish my covenant with you, and you shall come into the ark, you, your sons, your wife, and your sons' wives with you.
Kutani exikarhi ka swivumbiwa hinkwaswo swa tinxaka-xaka leswi hanyaka, u ta teka swimbirhi-mbirhi, xa xinuna ni xa xisati, u nghena na swona engalaveni, leswaku na swona swi ta pona.	And of every living thing of all flesh, you shall bring two of every sort into the ark to keep them alive with you. They shall be male and female.
Exikarhi ka tinyanyana hinkwato, ni swiharhi hinkwaswo, ni swikokovi hinkwaswo, u ta nghena ni swimbirhi swa rixaka rin'wana ni rin'wana, leswaku na swona swi ta pona.	Of the birds according to their kinds, and of the animals according to their kinds, of every creeping thing of the ground, according to its kind, two of every sort shall come in to you to keep them alive.
U fanele ku teka ni swakudya hi tinxaka-xaka ta swona, u swi hlayisa, swi ta dyiwa hi wena ni swivumbiwa leswin'wana.	Also take with you every sort of food that is eaten, and store it up. It shall serve as food for you and for them.
Hiloko Nowa a endla swilo leswi hinkwaswo, hilaha Xikwembu xi n'wi leriseke hakona.	Noah did this; he did all that God commanded him.
Kutani HOSI Xikwembu xi ku ka Nowa: Teka va ndyangu wa wena hinkwavo, u nghena na vona engalaveni, hikuva ndzi swi vonile leswaku exikarhi ka vanhu hinkwavo lava nga laha misaveni, hi wena ntsena u lulameke emahlweni ka mina.	Then the LORD said to Noah, Go into the ark, you and all your household, for I have seen that you are righteous before me in this generation.
Exikarhi ka rixaka rin'wana ni rin'wana ra swiharhi leswi tengeke, u ta pambula swiharhi swa 14, swa xinuna swa 7 ni swa xisati swa 7, kasi exikarhi ka rixaka rin'wana ni rin'wana ra swiharhi leswi nga tengangiki, u ta pambula swiharhi swimbirhi, xin'we xa xinuna ni xin'we xa xisati.	Take with you seven pairs of all clean animals, the male and his mate, and a pair of the animals that are not clean, the male and his mate
Eka tinyanyana, u ta pambula ta 14 exikarhi ka rixaka rin'wana na rin'wana, ta xinuna ta 7 ni ta xisati ta 7, leswaku rixaka ra kona ri ta ka ri nga nyamalali	and seven pairs of the birds of the heavens also, male and female, to keep their offspring alive on the face of all the earth.
hikuva loko ku nga si hundza masiku ya 7, ndzi ta rhumela mpfula emisaveni, leyi nga ta na masiku ya 40 ni vusiku bya kona. Swilo hinkwaswo leswi hanyaka leswi ndzi swi endleke emisaveni ndzi ta swi herisela makumu.	For in seven days I will send rain on the earth forty days and forty nights, and every living thing that I have made I will blot out from the face of the ground.
Kutani Nowa a endla hinkwaswo leswi HOSI Xikwembu xi n'wi leriseke swona.	And Noah did all that the LORD had commanded him.
Loko ku va ni ndhambi ya mati emisaveni, Nowa a a ri ni malembe ya 600.	Noah was six hundred years old when the flood of waters came upon the earth.
Nowa, ni nsati wa yena, ni vana va yena, ni vasati va vona, va nghena endzeni ka ngalava, hi ku chava ndhambi ya mati.	And Noah and his sons and his wife and his sons' wives with him went into the ark to escape the waters of the flood.
Exikarhi ka swiharhi leswi tengeke, ni ka leswi nga tengangiki, ni ka tinyanyana, ni ka swikokovi hinkwaswo	Of clean animals, and of animals that are not clean, and of birds, and of everything that creeps on the ground
ku vile ni swimbirhi-mbirhi, xa xinuna ni xa xisati, leswi ngheneke na Nowa engalaveni hilaha Xikwembu xi n'wi leriseke hakona.	two and two, male and female, went into the ark with Noah, as God had commanded Noah.
Kutani endzhaku ka masiku ya 7, ku sungula ndhambi ya mati emisaveni.	And after seven days the waters of the flood came upon the earth.
Elembeni leri Nowa a veke ni malembe ya 600 ha rona, hi siku ra vu-17 ra n'hweti ya vumbirhi, swidziva hinkwaswo swa mati swi khapa, ni tinyangwa ta mati ya le tilweni ti pfuleka.	In the six hundredth year of Noah's life, in the second month, on the seventeenth day of the month, on that day all the fountains of the great deep burst forth, and the windows of the heavens were opened.
Kutani ku na mpfula emisaveni ku ringana masiku ya 40 ni vusiku bya kona.	And rain fell upon the earth forty days and forty nights.
Hi siku rero, Nowa a teka nsati wa yena, ni vana va yena Xeme, na Hamu, na Yafeta, ni vasati va vona vanharhu, a nghena na vona engalaveni.	On the very same day Noah and his sons, Shem and Ham and Japheth, and Noah's wife and the three wives of his sons with them entered the ark
Va nghenile ni tinxaka to hambana-hambana ta swiharhi, ni ta swifuwo, ni ta swikokovi, ni ta tinyanyana hinkwato ta muhlovu-hlovu.	they and every beast, according to its kind, and all the livestock according to their kinds, and every creeping thing that creeps on the earth, according to its kind, and every bird, according to its kind, every winged creature.
Nowa ú nghenile engalaveni a ri ni swivumbiwa swimbirhi-mbirhi, exikarhi ka swivumbiwa hinkwaswo leswi hanyaka.	They went into the ark with Noah, two and two of all flesh in which there was the breath of life.
Swivumbiwa hinkwaswo swa xinuna ni swa xisati leswi ngheneke engalaveni, swi nghenile hilaha Xikwembu xi leriseke Nowa hakona. Kutani HOSI Xikwembu xi pfalela Nowa engalaveni.	And those that entered, male and female of all flesh, went in as God had commanded him. And the LORD shut him in.
Ndhambi ya mati yi va kona emisaveni ku ringana masiku ya 40, mati ma ri karhi ma ndlandlamuka, ma tlakula ngalava yi suka ehansi.	The flood continued forty days on the earth. The waters increased and bore up the ark, and it rose high above the earth.
Kutani mati ma ya ma ndlandlamuka swinene, ngalava yi kondza yi papama ehenhla ka wona.	The waters prevailed and increased greatly on the earth, and the ark floated on the face of the waters.
Loko mati ma ndlandlamukile hi matimba swinene, ma funengetile ni tintshava hinkwato leto leha emisaveni	And the waters prevailed so mightily on the earth that all the high mountains under the whole heaven were covered.
ma tlhela ma ti hundza hi 7,5 m.	The waters prevailed above the mountains, covering them fifteen cubits deep.
Kutani swivumbiwa hinkwaswo leswi hanyaka emisaveni swi fetetela. Ku file tinyanyana, ni swifuwo, ni swiharhi, ni swihadyana hinkwaswo leswi tateke misava, ni vanhu hinkwavo.	And all flesh died that moved on the earth, birds, livestock, beasts, all swarming creatures that swarm on the earth, and all mankind.
Xilo xin'wana ni xin'wana laha misaveni lexi xi hefemulaka, xi file.	Everything on the dry land in whose nostrils was the breath of life died.
HOSI yi herisile swivumbiwa hinkwaswo leswi hanyaka emisaveni: Vanhu, ni swiharhi, ni swikokovi, ni tinyanyana, swi herisiwa hinkwaswo, ku pona ntsena Nowa ni lava a a ri na vona engalaveni.	He blotted out every living thing that was on the face of the ground, man and animals and creeping things and birds of the heavens. They were blotted out from the earth. Only Noah was left, and those who were with him in the ark.
Mati ma ndlandlamukile ma ya ehenhla ku ringana masiku ya 150.	And the waters prevailed on the earth 150 days.
Kutani Xikwembu xi tsundzuka Nowa ni swiharhi hinkwaswo ni swifuwo hinkwaswo leswi a a ri na swona engalaveni; hiloko xi hungisa moya emisaveni, kutani mati ma sungula ku hunguteka.	But God remembered Noah and all the beasts and all the livestock that were with him in the ark. And God made a wind blow over the earth, and the waters subsided.
Mati ya le swidziveni ma yima ku khapa, ni tinyangwa ta mati ya le tilweni ti pfaleka, mpfula yi xa.	The fountains of the deep and the windows of the heavens were closed, the rain from the heavens was restrained
Kutani hi kutsongo-tsongo, mati ma sungula ku ya ehansi. Endzhaku ka masiku ya 150, mati a ma hungutekile swinene.	and the waters receded from the earth continually. At the end of 150 days the waters had abated
Hi siku ra vu-17 ra n'hweti ya vu-7, ngalava yi ya yima entshaveni le Ararata.	and in the seventh month, on the seventeenth day of the month, the ark came to rest on the mountains of Ararat.
Mati ma ya emahlweni ma hunguteka, ku kondza ku fika n'hweti ya vukhume, kutani hi siku ro sungula ra n'hweti ya vukhume, tinhlohlorhi ta tintshava ti sungula ku vonaka.	And the waters continued to abate until the tenth month; in the tenth month, on the first day of the month, the tops of the mountains were seen.
Loko ku hundzile masiku ya 40, Nowa a pfula fasitere leri a ri endleke engalaveni	At the end of forty days Noah opened the window of the ark that he had made
a humesa wukuwuku, kutani rona ri ya haha-haha ehandle mati ma kondza ma phya.	and sent forth a raven. It went to and fro until the waters were dried up from the earth.
Hiloko a humesa tuva, leswaku ri ya kamba loko mati ma phyile emisaveni.	Then he sent forth a dove from him, to see if the waters had subsided from the face of the ground.
Kambe tuva a ri kumanga laha ri nga phatsamaka kona, hikuva mati a ma ha funengetile misava hinkwayo. Hiloko ri tlhelela eka Nowa engalaveni, kutani Nowa a humesa voko a teka tuva, a ri tlherisela engalaveni laha a a ri kona.	But the dove found no place to set her foot, and she returned to him to the ark, for the waters were still on the face of the whole earth. So he put out his hand and took her and brought her into the ark with him.
Nowa a tshama masiku ya 7, kutani a tlhela a humesa tuva engalaveni.	He waited another seven days, and again he sent forth the dove out of the ark.
Kutani tuva ri vuya nimadyambu ri lumile tluka lera ha ku khiwaka emurhini wa mutlhwari. Kutani Nowa a swi tiva leswaku mati ma hungutekile emisaveni.	And the dove came back to him in the evening, and behold, in her mouth was a freshly plucked olive leaf. So Noah knew that the waters had subsided from the earth.
A tlhela a tshama masiku ya 7, kutani a humesa tuva engalaveni, kambe rona a ra ha vuyanga.	Then he waited another seven days and sent forth the dove, and she did not return to him anymore.
Loko Nowa a ri ni malembe ya 601, hi siku ro sungula ra n'hweti yo sungula, mati a ma phyile emisaveni; kutani Nowa a pfula lwangu ra ngalava, a hlometela emisaveni, kutani a kuma leswaku misava a yi sungula ku oma.	In the six hundred and first year, in the first month, the first day of the month, the waters were dried from off the earth. And Noah removed the covering of the ark and looked, and behold, the face of the ground was dry.
Hi siku ra 27 ra n'hweti ya vumbirhi, misava a yi omile.	In the second month, on the twenty-seventh day of the month, the earth had dried out.
Kutani Xikwembu xi ku ka Nowa	Then God said to Noah
Huma engalaveni ni nsati wa wena, ni vana va wena ni vasati va vona	Go out from the ark, you and your wife, and your sons and your sons' wives with you.
u huma ni swivumbiwa hinkwaswo leswi hanyaka leswi u nga na swona, ti nga tinyanyana, ni swiharhi, ni swikokovi hinkwaswo, leswaku swi ta tswalana, swi andza, swi tata misava.	Bring out with you every living thing that is with you of all flesh—birds and animals and every creeping thing that creeps on the earth—that they may swarm on the earth, and be fruitful and multiply on the earth.
